單字,詞類 (Parts of Speech)
barbecue,n./v.
brief,adj./n./v.
cheer,v./n.
barber,n.
brilliant,adj.
chemical,adj./n.
bark,n./v.
broad,adj.
chess,n.
base,n./v.
brush,n./v.
chief,adj./n.
basic,adj.
building,n.
childhood,n.
basics,n.
bun,n.
childish,adj.
basis,n.
burden,n./v.
china,n.
bathe,v.
burn,v./n.
chopstick(s),n.
battle,n./v.
burst,n./v.
claim,n./v.
beard,n.
businessman,n.
clap,v./n.
beat,v./n.
cabbage,n.
classic,adj./n.
beauty,n.
/cafe,n.
classical,adj.
beer,n.
cage,n./v.
classmate,n.
beg,v.
calendar,n.
clever,adj.
beginner,n.
calm,v./adj./n
click,v./n.
behave,v.
camel,n.
climate,n.
being,n.
cancel,v.
cloth,n.
belief,n.
cancer,n.
clothing,n.
bend,v./n.
candle,n.
cloudy,adj.
better,adj./adv./n./v.
capital,n./adj.
coal,n.
beyond,prep./adv.
cartoon,n./v.
coast,n.
bill,n./v.
cash,n./v.
cockroach/roach,n.
billion,n.
castle,n.
cocoa,n.
birth,n.
cause,n./v.
coin,n./v.
cola/Coke,n.
culture,n.
difficulty,n.
college,n.
cure,n./v.
direct,adj./v./adv.
comb,n./v.
curious,adj.
direction,n.
combine,v.
current,adj./n.
director,n.
comic(s),adj./n.
curtain,n./v.
disagree(ment),v./(n.)
command,n./v.
custom,n.
disappear,v.
commercial,adj./n.
customer,n.
discover,v.
company,n.
cycle,n./v.
discovery,n.
compare,v.
daily,adj./adv./n.
discuss,v.
complete,adj./v.
damage,n./v.
discussion,n.
complex,adj./n.
dancer,n.
disease,n.
concern,n./v.
danger,n.
display,n./v.
conclude,v.
data,n.
distance,n.
condition,n./v.
deaf,adj.
distant,adj.
confident,adj.
debate,n./v.
divide,v./n.
conflict,n./v.
debt,n.
division,n.
congratulation(s),n.
decision,n.
domestic,adj.
connection,n.
deer,n.
dot,n./v.
consider,v.
degree,n.
double,adj./v./n./adv.
consideration,n.
delay,n./v.
doubt,n./v.
contact,n./v.
delicious,adj.
dove,n.
contain,v.
deliver,v.
download,v.
continue,v.
delivery,n.
downstairs,adv./n./adj.
contract,n./v.
dentist,n.
dragon,n.
control,n./v.
deny,v.
drama,n.
conversation,n.
department,n.
drawer,n.
corn,n.
depend,v.
drawing,n.
countryside,n.
depth,n.
drug,n./v.
couple,n./v.
describe,v.
dryer,n.
courage,n.
description,n.
due,adj./adv./n.
court,n.
desert,n./v.
dull,adj./v.
cowboy,n.
design,n./v.
duty,n.
crayon,n.
detail,n./v.
eagle,n.
cream,n./adj.
develop(ment),v./(n.)
earn,v.
create,v.
dial,n./v.
earring(s),n.
crime,n.
dialogue,n.
earthquake,n.
crisis,n.
diamond,n.
ease,n./v.
crow,n.
diary,n.
eastern,adj.
crowd,n./v.
diet,n./v.
edge,n./v.
cultural,adj.
difference,n.
edition,n.
education,n.
expression,n.
forgive,v.
effect,n./v.
extra,adj./adv./n.
form,n./v.
effective,adj.
eyebrow/brow,n.
formal,adj.
effort,n.
factor,n.
former,adj.
elder,n./adj.
failure,n.
forth,adv.
electric,adj.
fair,adj./n./adv.
forward,adj./n./v.
electrical,adj.
false,adj.
forward/forwards,adv.
emotion,n.
fashion,n./v.
found,v.
emphasize,v.
fate,n.
fox,n.
employ(ment),v./(n.)
fault,n./v.
freedom,n.
employee,n.
favor,n./v.
friendship,n.
employer,n.
favorite,adj./n.
fries,n.
empty,adj./v.
fear,n./v.
fry,v./n.
encourage(ment),v./(n.)
feature,n./v.
function,n./v.
ending,n.
fee,n.
furniture,n.
enemy,n.
feeling,n.
further,adv./adj./v.
energy,n.
fellow,n.
gain,v./n.
engine,n.
female,adj./n.
garbage,n.
entire,adj.
fever,n.
gardener,n.
entrance,n.
field,n.
garlic,n.
environment,n.
figure,n./v.
gather,v.
environmental,adj.
final,adj./n.
general,adj./n.
equal,adj./v./n.
fireman/firewoman,n.
generous,adj.
escape,v./n.
firm,n./adj./v./adv.
gentle,adj.
especially,adv.
fisherman,n.
gentleman,n.
essay,n.
fit,v./adj./n./adv.
giraffe,n.
eve,n.
fix,v./n.
glue,n./v.
event,n.
flag,n.
goal,n.
evil,n./adj.
flat,adj./adv./n.
goat,n.
exact,adj.
flight,n.
gold,n./adj.
examination/exam,n.
flow,n./v.
golden,adj.
examine,v.
flu,n.
goose,n.
excite(ment),v./(n.)
focus,n./v.
govern,v.
excuse,v./n.
fog,n./v.
government,n.
exist,v.
folk,n.
gradual,adj.
existence,n.
following,adj./prep./n.
grain,n.
exit,n./v.
foolish,adj.
gram,n.
expense,n.
football,n.
grand,adj.
expert,n./adj.
force,n./v.
grape,n.
express,v./adj./adv./n.
forest,n.
greet,v.
growth,n.
income,n.
latter,adj.
guard,n./v.
increase,v./n.
law,n.
guava,n.
indeed,adv.
lay,v.
guest,n.
independence,n.
leadership,n.
guide,n./v.
independent,adj.
leaf,n.
gun,n./v.
indicate,v.
legal,adj.
gymnasium/gym,n.
individual,adj./n.
lend,v.
haircut,n.
industry,n.
length,n.
hall,n.
influence,n./v.
lens,n.
hamburger/burger,n.
ink,n./v.
liberal,adj.
handle,v./n.
insist,v.
lid,n.
handsome,adj.
instance,n.
lift,v./n.
hardly,adv.
instant,adj./n.
likely,adj./adv.
heaven,n.
instead,adv.
limit,n./v.
hero/heroine,n.
instruction,n.
link,n./v.
highly,adv.
instrument,n.
liquid,n.
highway,n.
internal,adj.
listener,n.
hike,n./v.
international,adj.
liver,n.
hip,n.
Internet/internet,n.
load,n./v.
hippopotamus/hippo,n.
introduce,v.
local,adj./n.
historical,adj.
introduction,n.
lone,adj.
hole,n.
iron,n./v./adj.
loss,n.
hop,v./n.
jam,n./v.
lower,v.
host/hostess,n.
jog,v./n.
luck,n.
huge,adj.
joint,adj./n.
magazine,n.
human,adj./n.
journal,n.
maintain,v.
humble,adj.
judge,n./v.
major,adj./n./v.
hunt,v./n.
judgment/judgement,n.
male,adj./n.
hunter,n.
justice,n.
manage(ment),v./(n.)
hurry,v./n.
keeper,n.
manager,n.
ideal,adj./n.
ketchup,n.
mango,n.
identity,n.
kilogram,n.
manner,n.
ignore,v.
lack,n./v.
marriage,n.
ill,adj./adv./n.
lady,n.
marry,v.
image,n.
ladybug,n.
mask,n./v.
imagine,v.
lamb,n./v.
mass,n.
importance,n.
lane,n.
master,n./v.
impressive,adj.
lantern,n.
mat,n.
improve(ment),v./(n.)
lap,n.
match,n.
include,v.
latest,adj.
mate,n./v.
material,n.
negative,adj./n.
pardon,n./v.
mature,adj.
neighbor,n.
participate,v.
meaning,n.
neither,adj./adv./pron./
particular,adj.
means,n.
partner,n.
measure(ment),v./(n.)
nephew,n.
password,n.
medical,adj.
nerve,n.
paste,n./v.
melody,n.
nervous,adj.
path,n.
membership,n.
network,n./v.
patient,n./adj.
memory,n.
niece,n.
pattern,n./v.
mention,v./n.
nod,n./v.
peace,n.
message,n.
none,pron./adv.
peaceful,adj.
metal,n./adj.
noodle,n.
peach,n.
meter,n.
nor,conj.
peak,n./v.
method,n.
northern,adj.
pear,n.
midnight,n.
notebook,n.
per,prep.
mile,n.
novel,n./adj.
perfect,adj./v./n.
military,adj./n.
nut,n.
period,n.
minor,adj./n.
obey,v.
personal,adj.
minority,n.
object,n./v.
personality,n.
mirror,n./v.
obvious,adj.
phrase,n./v.
mix,n./v.
occur,v.
pillow,n.
mixture,n.
ocean,n.
pizza,n.
model,n./v.
offer,v./n.
plain,adj./n.
mood,n.
official,adj./n.
platform,n.
mop,n./v.
operate,v.
playground,n.
motion,n.
operator,n.
pleasant,adj.
motorcycle,n.
opinion,n.
plus,prep./n./adj.
mug,n.
ordinary,adj.
poem,n.
musical,adj./n.
organ,n.
poet,n.
musician,n.
organization,n.
poetry,n.
nail,n.
origin,n.
poison,n./v.
narrow,adj./v.
owner,n.
policeman/cop,n.
nation,n.
pain,n./v.
policy,n.
natural,adj.
painful,adj.
pop,n./adj.
naughty,adj.
painting,n.
population,n.
nearby,adj./adv.
pajamas,n.
pork,n.
nearly,adv.
pale,adj.
port,n.
necessary,adj.
pan,n.
pose,v./n.
necklace,n.
panda,n.
position,n./v.
needle,n.
papaya,n.
positive,adj./n.
possibility,n.
purple,adj./n.
review,n./v.
post,n./v./adv.
purpose,n.
riches,n.
postcard,n.
puzzle,n./v.
rocky,adj.
pound,n.
quality,n.
role,n.
powerful,adj.
quantity,n.
roof,n./v.
praise,n./v.
quiz,n.
rooster,n.
pray,v.
railroad/railway,n.
royal,adj.
prayer,n.
raincoat,n.
rub,v./n.
prefer,v.
range,n./v.
rubber,n.
president,n.
rapid,adj.
rude,adj.
press,n./v.
rare,adj.
runner,n.
pressure,n./v.
rat,n.
safety,n.
pride,n./v.
rather,adv.
sail,v./n.
priest,n.
reality,n.
sailor,n.
primary,adj.
realize,v.
prince/princess,n.
receive,v.
saleswoman,n.
principal,adj./n.
recent,adj.
salty,adj.
principle,n.
record,n./v.
sample,n./v.
print,n./v.
recover,v.
sand,n./v.
printer,n.
refrigerator/fridge,n.
sandwich,n./v.
prison,n.
refuse,v.
satisfy,v.
prisoner,n.
regard,n./v.
saw,v./n.
private,adj.
region,n.
scare,v./n.
prize,n./v.
regular,adj./n.
scared,adj.
produce,v./n.
reject,v.
scene,n.
production,n.
relate,v.
schedule,n./v.
progress,n./v.
relation,n.
scooter,n.
project,n.
relationship,n.
score,n./v.
promise,n./v.
religion,n.
screen,n.
proper,adj.
remove,v.
seafood,n.
propose,v.
rent,n./v.
search,n./v.
protect,v.
repair,n./v.
secondary,adj.
protective,adj.
reply,n./v.
secret,adj./n.
prove,v.
require(ment),v./(n.)
section,n.
provide,v.
respect,n./v.
seek,v.
pudding,n.
respond,v.
seem,v.
pumpkin,n.
