單字,詞類 (Parts of Speech)
anticipate,v.
bias,n./v.
ceremony,n.
antique,adj./n.
bid,n./v.
certainty,n.
applause,n.
biological,adj.
certificate,n./v.
appliance,n.
bizarre,adj.
chaos,n.
apt,adj.
blast,n./v.
chapel,n.
architect,n.
blur,n./v.
characterize,v.
architecture,n.
blush,n./v.
chef,n.
arena,n.
bodyguard,n.
choir,n.
arouse,v.
bolt,n./v.
chord,n.
array,n.
bonus,n.
chore,n.
arrogant,adj.
boom,n./v.
chronic,adj.
articulate,v./adj.
boost,v./n.
chubby,adj.
ass,n.
booth,n.
chunk,n.
assault,n./v.
boredom,n.
circuit,n.
assert,v.
bound,v./n.
cite,v.
assess(ment),v./(n.)
boundary,n.
citizenship,n.
asset,n.
boxer,n.
civic,adj.
assumption,n.
breakthrough,n.
clarity,n.
astonish(ment),v./(n.)
briefcase,n.
clause,n.
athletics,n.
bronze,n./adj.
cling,v.
attendance,n.
browse,v./n.
clinical,adj.
attic,n.
bruise,n./v.
cluster,n./v.
attorney,n.
bulk,n.
cocaine,n.
attribute,v.
bully,n./v.
coffin,n.
auction,n./v.
bureau,n.
cognitive,adj.
authorize,v.
bureaucracy,n.
coherent,adj.
autonomy,n.
burial,n.
coincidence,n.
awe,n./v.
butcher,n./v.
collaboration,n.
backyard,n.
calcium,n.
collective,adj./n.
ballot,n./v.
canal,n.
collector,n.
ban,n./v.
canvas,n./v.
colonial,adj./n.
banner,n.
capability,n.
columnist,n.
combat,n./v.
confidential,adj.
counselor,n.
comedian,n.
confine,v.
courteous,adj.
commentary,n.
conform,v.
coverage,n.
commentator,n.
confront,v.
credibility,n.
commission,n./v.
confrontation,n.
creek,n.
commitment,n.
consecutive,adj.
cripple,v./n.
commodity,n.
consensus,n.
criterion/criteria,n.
communism,n.
consent,n./v.
crucial,adj.
communist,adj./n.
conservation,n.
crude,adj.
commute,v.
considerate,adj.
cruise,n./v.
commuter,n.
constitutional,adj./n.
crystal,n./adj.
compact,adj./n./v.
constraint,n.
cuisine,n.
comparable,adj.
consultation,n.
currency,n.
compassion,n.
consumption,n.
curriculum,n.
compassionate,adj.
contagious,adj.
custody,n.
compatible,adj.
contaminate,v.
customs,n.
compel,v.
contemplate,v.
deadly,adj./adv.
compensate,v.
contemporary,adj./n.
debris,n.
compensation,n.
contempt,n.
debut,n.
competence,n.
contend,v.
decay,n./v.
competent,adj.
continental,adj.
deceive,v.
complexity,n.
contractor,n.
decent,adj.
compliance,n.
contradiction,n.
declaration,n.
complication,n.
controversial,adj.
decline,n./v.
compliment,n./v.
controversy,n.
dedicate,v.
comply,v.
conversion,n.
defendant,n.
component,n./adj.
convert,v.
deficit,n.
compound,n./v./adj.
convict,v./n.
defy,v.
comprehend,v.
conviction,n.
delegate,n./v.
comprehension,n.
coordinate,v./n./adj.
delegation,n.
comprise,v.
copyright,n./v.
deliberate,adj./v.
compromise,n./v.
core,n.
democrat,n.
compulsory,adj.
corporate,adj.
denial,n.
conceal,v.
corporation,n.
density,n.
concede,v.
correlation,n.
depict,v.
conceive,v.
correspondent,n.
deploy,v.
conception,n.
corridor,n.
depress,v.
condemn,v.
corrupt,adj./v.
deputy,n.
conduct,v./n.
corruption,n.
derive,v.
confession,n.
counsel,n./v.
descend,v.
descriptive,adj.
drought,n.
exclusive,adj.
despair,n./v.
ecological,adj.
execute,v.
destination,n.
ecology,n.
execution,n.
destiny,n.
ecosystem,n.
executive,n./adj.
destructive,adj.
ego,n.
exile,n./v.
devotion,n.
elaborate,adj./v.
exotic,adj./n.
diagnose,v.
eligible,adj.
expedition,n.
diagnosis,n.
eloquent,adj.
expertise,n.
dialect,n.
embrace,v./n.
explicit,adj.
diameter,n.
emission,n.
exploit,v./n.
diaper,n.
endorse(ment),v./(n.)
exploration,n.
digestion,n.
enterprise,n.
extension,n.
dilemma,n.
enthusiastic,adj.
extensive,adj.
dimension,n.
entitle,v.
exterior,n./adj.
diminish,v.
entity,n.
external,adj./n.
diplomatic,adj.
entrepreneur,n.
extinct,adj.
directory,n.
envious,adj.
extraordinary,adj.
disapprove,v.
envision,v.
fabric,n.
disclose,v.
epidemic,n./adj.
fabulous,adj.
disconnect,v.
episode,n.
facilitate,v.
discourse,n.
equation,n.
faculty,n.
discriminate,v.
equity,n.
fascinate,v.
discrimination,n.
equivalent,n./adj.
fatigue,n./v.
disrupt,v.
erect,v./adj.
federal,adj.
dissolve,v.
errand,n.
fiber,n.
distinction,n.
erupt,v.
filter,n./v.
distinctive,adj.
escalator,n.
fiscal,adj.
distract,v.
essence,n.
fleet,n.
doctrine,n.
estate,n.
flexibility,n.
document,n./v.
eternal,adj.
flip,v./n.
documentary,n./adj.
ethic(s),n.
fluency,n.
domain,n.
ethical,adj.
fluid,n./adj.
dome,n./v.
evolution,n.
forge,v.
donate,v.
evolve,v.
format,n./v.
donation,n.
exaggeration,n.
forum,n.
donor,n.
exceed,v.
foster,adj./v.
doorway,n.
exceptional,adj.
foul,adj./n./v./adv.
dough,n.
excessive,adj.
fraction,n.
dreadful,adj.
exclaim,v.
fragment,n./v.
driveway,n.
exclude,v.
framework,n.
franchise,n.
hostility,n.
integrate,v.
fraud,n.
housing,n.
integration,n.
freight,n./v.
howl,n./v.
integrity,n.
frontier,n.
hypothesis,n.
intensify,v.
galaxy,n.
icon,n.
intent,n./adj.
gasp,n./v.
ideology,n.
interference,n.
gathering,n.
idiot,n.
interior,adj./n.
generate,v.
illusion,n.
interpretation,n.
generator,n.
immense,adj.
interval,n.
genetic,adj.
immune,adj.
intervention,n.
genetics,n.
implement,v./n.
investigator,n.
genre,n.
implication,n.
irony,n.
glare,n./v.
impulse,n.
journalism,n.
gloomy,adj.
incentive,n./adj.
journalist,n.
gorgeous,adj.
incorporate,v.
judicial,adj.
grant,n./v.
index,n./v.
jug,n./v.
graphic,adj./n.
indifferent,adj.
jury,n.
gravity,n.
indigenous,adj.
justify,v.
greed,n.
indispensable,adj.
juvenile,adj./n.
grieve,v.
indulge,v.
kidnap,v.
grill,n./v.
inevitable,adj.
landlord,n.
grim,adj.
infect,v.
laser,n.
grip,n./v.
infinite,adj.
lawmaker,n.
gross,adj./v./n.
infrastructure,n.
lawsuit,n.
guideline,n.
inherent,adj.
layer,n./v.
gut,n./v.
inherit,v.
league,n./v.
habitat,n.
initiate,v./adj./n.
legacy,n.
haul,v./n.
initiative,n./adj.
legendary,adj.
hazard,n./v.
inject,v.
legislation,n.
heir,n.
injection,n.
legislative,adj.
hence,adv.
inning,n.
legitimate,adj./v.
herb,n.
innovation,n.
lest,conj.
heritage,n.
innovative,adj.
liability,n.
highlight,v./n.
inquiry,n.
likelihood,n.
hockey,n.
insane,adj.
likewise,adv.
honorable,adj.
insight,n.
loop,n.
horizontal,adj./n.
installation,n.
lounge,n./v.
hormone,n.
institute,n./v.
lump,n./v.
hostage,n.
institution,n.
mainstream,n.
hostile,adj.
intact,adj.
maintenance,n.
mammal,n.
mustard,n.
overtake,v.
mandate,n.
myth,n.
overturn,v./n.
manifest,v./adj.
naive,adj.
overwhelm,v.
manipulate,v.
narrative,n./adj.
parallel,adj./n./v.
mansion,n.
nasty,adj.
participant,n.
marine,adj./n.
negotiation,n.
particle,n.
masculine,adj./n.
neutral,adj./n.
partly,adv.
massage,n./v.
nominate,v.
passionate,adj.
massive,adj.
nomination,n.
pastry,n.
masterpiece,n.
nominee,n.
patch,n./v.
mattress,n.
nonprofit,adj.
patent,n./adj./v.
meantime,n./adv.
norm,n.
pathetic,adj.
mechanism,n.
noticeable,adj.
patrol,n./v.
medication,n.
notify,v.
patron,n.
mentor,n.
notion,n.
peasant,n.
merge,v.
nowhere,adv./pron.
pedal,n./v.
metaphor,n.
nutrient,n./adj.
pedestrian,n./adj.
metropolitan,adj./n.
nutrition,n.
penetrate,v.
midst,n./prep.
obligation,n.
pension,n./v.
migration,n.
obscure,adj./v.
perceive,v.
milestone,n.
observer,n.
perception,n.
miniature,adj./n.
odds,n.
performer,n.
minimal,adj.
offering,n.
persist,v.
minimize,v.
olive,adj./n.
personnel,n.
mint,n.
operational,adj.
perspective,n./adj.
missionary,n./adj.
opponent,n.
pessimism,n.
moan,n./v.
opposition,n.
petition,n.
mock,adj./v./n.
opt,v.
petty,adj.
mode,n.
optimism,n.
phase,n./v.
modify,v.
optional,adj.
photographic,adj.
molecule,n.
orchard,n.
pickup,n.
monopoly,n.
organism,n.
pier,n.
morality,n.
originality,n.
pillar,n.
mortality,n.
outfit,n./v.
pipeline,n.
mortgage,n.
outlet,n.
pirate,n./v.
motive,n.
output,n./v.
pitcher,n.
mount,n./v.
outsider,n.
placement,n.
mumble,v./n.
overall,adj./adv./n.
plea,n.
municipal,adj.
overhead,adv./adj./n.
plead,v.
muscular,adj.
oversee,v.
pledge,n./v.
plunge,n./v.
provision,n.
removal,n.
plural,adj./n.
provoke,v.
render,v.
poetic,adj.
pulse,n./v.
rental,n.
poke,v./n.
purchase,n./v.
repay,v.
porch,n.
pyramid,n.
republican,n./adj.
portfolio,n.
qualify,v.
resemblance,n.
practitioner,n.
quest,n.
reservoir,n.
precaution,n.
questionnaire,n.
residence,n.
predator,n.
quiver,n./v.
resident,n./adj.
preference,n.
quota,n.
residential,adj.
prejudice,n./v.
racism,n.
resort,n./v.
preliminary,adj./n.
rack,n./v.
respondent,n.
premature,adj.
radiation,n.
resume,v./n.
premier,adj./n.
radical,adj./n.
retail,n./adj./adv./v.
premise,n.
ragged,adj.
revenue,n.
premium,n.
raid,n./v.
reverse,v./adj./n.
prescribe,v.
rail,n.
rhetoric,n.
prescription,n.
rally,n./v.
rib,n./v.
presidency,n.
ranch,n./v.
ridge,n./v.
presidential,adj.
random,adj.
ridiculous,adj.
presumably,adv.
ratio,n.
rifle,n./v.
presume,v.
rational,adj.
rigid,adj.
prevail,v.
rattle,v./n.
rim,n./v.
prey,n./v.
realism,n.
riot,n./v.
prior,adj./adv./n.
realm,n.
rip,v./n.
proclaim,v.
rear,adj./n.
risky,adj.
productivity,n.
reassure,v.
ritual,n./adj.
profile,n./v.
rebellion,n.
rival,adj./n./v.
profound,adj.
recession,n.
rod,n.
progressive,adj./n.
recipient,n./adj.
sacred,adj.
prohibit,v.
recite,v.
saddle,n./v.
projection,n.
recommend,v.
saint,n./v.
prolong,v.
recommendation,n.
salmon,n./adj.
prone,adj.
recruit,v./n.
salon,n.
propaganda,n.
refuge,n.
sandal,n.
prophet,n.
regardless,adj./adv.
scan,n./v.
proportion,n./v.
regime,n.
scandal,n.
prosecution,n.
rehearsal,n.
scar,n./v.
prospect,n./v.
reinforce,v.
scenario,n.
province,n.
reminder,n.
scent,n./v.
scheme,n./v.
snatch,v./n.
stall,n./v.
scope,n.
sneak,v./n.
stance,n.
scramble,v./n.
sniff,v./n.
startle,v.
scrap,n./v.
soak,v./n.
statistical,adj.
script,n./v.
soar,v.
steer,v./n.
sector,n.
sob,n./v.
stereotype,n./v.
segment,n./v.
sober,adj./v.
stew,n./v.
seminar,n.
soften,v.
stimulate,v.
senator,n.
sole,adj./n./v.
stimulus,n.
sensation,n.
solo,n./adv./adj.
stink,n./v.
sensitivity,n.
sophisticated,adj.
stock,n.
sensor,n.
sophomore,n.
storage,n.
sentiment,n.
souvenir,n.
straighten,v.
sentimental,adj.
sovereignty,n.
straightforward,adj.
sequence,n./v.
sow,v.
strain,n./v.
series,n.
spacious,adj.
strand,v./n.
server,n.
sparkle,v./n.
strap,n./v.
session,n.
specialist,n.
strategic,adj.
setting,n.
specialize,v.
striking,adj.
shareholder,n.
specialty,n.
structural,adj.
shatter,v.
specify,v.
stumble,v./n.
shed,v./n.
specimen,n.
sturdy,adj.
sheer,adj./adv.
spectacular,adj./n.
submit,v.
sheriff,n.
spectator,n.
subsequent,adj.
shield,n./v.
spectrum,n.
subsidy,n.
shiver,n./v.
speculate,v.
substantial,adj.
shortage,n.
sphere,n.
substitute,n./v.
shove,v./n.
spicy,adj.
subtle,adj.
shrug,n./v.
spine,n.
suburban,adj.
shuttle,n./v.
sponge,n./v.
successor,n.
sibling,n.
sponsor,n./v.
suite,n.
siege,n.
sponsorship,n.
superb,adj.
skeleton,n.
spouse,n.
superstition,n.
skull,n.
squad,n.
supervise,v.
slam,n./v.
squash,n./v.
supervision,n.
slap,n./v./adv.
squat,adj./n./v.
supervisor,n.
slavery,n.
stability,n.
supposedly,adv.
slot,n./v.
stack,n./v.
supreme,adj.
smash,v./n.
stain,n./v.
surplus,n./adj.
smog,n.
stake,n./v.
surveillance,n.
suspend,v.
transaction,n.
vendor,n.
sustain,v.
transformation,n.
venture,n./v.
sustainable,adj.
transit,n./v.
venue,n.
swap,v./n.
transition,n.
verbal,adj./n.
symbolic,adj.
transmission,n.
verdict,n.
symptom,n.
transparent,adj.
version,n.
syndrome,n.
trauma,n.
versus,prep.
tackle,v.
treaty,n.
vertical,adj./n.
tactic(s),n.
tribute,n.
veteran,n.
tangle,n./v.
trigger,n./v.
via,prep.
tempt,v.
trim,v./n./adj.
viable,adj.
temptation,n.
triple,adj./v./n.
vicious,adj.
terminal,n./adj.
trivial,adj.
viewer,n.
terrify,v.
trophy,n.
viewpoint,n.
testify,v.
tuition,n.
vinegar,n.
texture,n./v.
tumor,n.
virtual,adj.
theft,n.
tuna,n.
visa,n.
theology,n.
ultimate,adj./n.
vocal,adj./n.
theoretical,adj.
uncover,v.
volcano,n.
therapist,n.
undergo,v.
vomit,n./v.
therapy,n.
undergraduate,n.
voucher,n.
thereby,adv.
underline,v./n.
vow,n./v.
thesis,n.
undermine,v.
vulnerable,adj.
thigh,n.
undertake,v.
warehouse,n./v.
threshold,n.
undo,v.
warrior,n.
thrill,n./v.
undoubtedly,adv.
wary,adj.
thriller,n.
unemployment,n.
weird,adj.
thrive,v.
unfold,v.
whatsoever,adj./pron.
throne,n.
unlock,v.
wheelchair,n.
thrust,v./n.
unprecedented,adj.
whereabouts,n./adv.
tick,n./v.
update,n./v.
whereas,conj.
tile,n./v.
upgrade,v./n.
whine,n./v.
tin,n./v.
utility,n.
widespread,adj.
toll,n./v.
utilize,v.
wig,n.
torch,n./v.
vacuum,n./v.
wilderness,n.
torment,n./v.
vague,adj.
wildlife,n.
tournament,n.
valid,adj.
windshield,n.
toxic,adj.
variable,n./adj.
wither,v.
trait,n.
variation,n.
witty,adj.
traitor,n.
vein,n.
workshop,n.
worship,n./v.
allege,v.
backbone,n.
worthwhile,adj.
alligator,n.
badge,n.
worthy,adj.
altitude,n.
banquet,n./v.
yacht,n./v.
aluminum,n.
barbarian,adj./n.
yield,v./n.
ambiguity,n.
bass,n./adj.
amid/amidst,prep.
batter,n./v.
amplify,v.
beautify,v.
abbreviate,v.
analogy,n.
beep,n./v.
abide,v.
analytical,adj.
beforehand,adv.
aboriginal,adj./n.
anchor,n./v.
beverage,n.
abound,v.
animate,v./adj.
bilateral,adj.
abstraction,n.
annoyance,n.
blaze,n./v.
abundance,n.
anthem,n.
bleach,n./v.
academy,n.
antibiotic,n./adj.
blond/blonde,n./adj.
accessory,n./adj.
anticipation,n.
blot,v./n.
acclaim,n./v.
antonym,n.
blunt,adj./v.
accordance,n.
applaud,v.
bodily,adj./adv.
accordingly,adv.
applicable,adj.
booklet,n.
accountable,adj.
apprentice,n.
bosom,n.
accumulate,v.
approximate,adj./v.
boulevard,n.
accumulation,n.
archaeology,n.
boxing,n.
accusation,n.
archive,n.
boycott,n./v.
accustom,v.
arithmetic,n./adj.
brace,n./v.
acne,n.
ascend,v.
brassiere/bra,n.
acre,n.
aspire,v.
breadth,n.
adaptation,n.
assassinate,v.
breakdown,n.
addiction,n.
asthma,n.
breakup,n.
astray,adv./adj.
bribe,n./v.
admiral,n.
astronaut,n.
brink,n.
adolescence,n.
astronomer,n.
broaden,v.
advisory,adj.
astronomy,n.
brochure,n.
aesthetic,adj.
attain(ment),v./(n.)
broil,v.
affectionate,adj.
attendant,n.
brook,n.
affiliate,n.
audit,n.
broth,n.
affirm,v.
auditorium,n.
brotherhood,n.
airtight,adj.
avert,v.
bulky,adj.
airway,n.
aviation,n.
bureaucrat,n.
algebra,n.
awesome,adj.
bypass,n./v.
alienate,v.
awhile,adv.
caffeine,n.
align,v.
bachelor,n.
calculator,n.
calligraphy,n.
clasp,v./n.
convene,v.
cape,n.
clearance,n.
coral,n./adj.
capsule,n.
climax,n./v.
corpse,n.
caption,n./v.
clockwise,adv./adj.
correspondence,n.
captive,adj./n.
clone,n./v.
cosmetic,adj.
captivity,n.
closure,n.
cosmetics,n.
cardboard,n.
coalition,n.
counterpart,n.
cardinal,n./adj.
coastline,n.
coupon,n.
carefree,adj.
collision,n.
courtyard,n.
caretaker,n.
colloquial,adj.
cowardly,adj.
carton,n.
comet,n.
cozy,adj.
cashier,n.
commonplace,adj./n.
crackdown,n.
casualty,n.
commonwealth,n.
cracker,n.
catastrophe,n.
communicative,adj.
cram,v.
cater,v.
comparative,adj.
cramp,n./v.
caterpillar,n.
compass,n./v.
crater,n./v.
cavity,n.
compile,v.
credible,adj.
celery,n.
complement,v./n.
crocodile,n.
cellular,adj.
complexion,n.
crossing,n.
Celsius,n.
comprehensive,adj.
crutch,n.
cement,n./v.
compute,v.
cub,n.
census,n.
computerize,v.
cucumber,n.
ceramic,adj./n.
comrade,n.
cultivate,v.
certify,v.
concession,n.
cumulative,adj.
curb,n./v.
curfew,n.
chairwoman,n.
confederation,n.
curry,n.
champagne,n.
chant,n./v.
congresswoman,n.
cynical,adj.
charitable,adj.
conquest,n.
dazzle,v./n.
checkup,n.
conscientious,adj.
deafen,v.
chemist,n.
conserve,v./n.
decisive,adj.
chestnut,n./adj.
consolation,n.
dedication,n.
chili,n.
console,n./v.
deduct,v.
chimpanzee,n.
consonant,n.
deem,v.
chirp,n./v.
conspiracy,n.
default,n./v.
cholesterol,n.
contention,n.
defect,n./v.
cigar,n.
contestant,n.
defiance,n.
civilize,v.
continuity,n.
definitive,adj.
clam,n.
contradict,v.
dental,adj.
deplete,v.
disturbance,n.
equate,v.
deprive,v.
diversify,v.
escort,n./v.
descent,n.
diversion,n.
esteem,n./v.
despise,v.
divert,v.
eternity,n.
destined,adj.
dividend,n.
evacuate,v.
detach,v.
doom,n./v.
evergreen,adj./n.
detain,v.
dormitory/dorm,n.
evoke,v.
detention,n.
downward,adj.
examinee,n.
deter,v.
detergent,n.
excel,v.
devour,v.
doze,v./n.
excerpt,n./v.
diabetes,n.
drastic,adj.
excess,adj./n.
dictate,v.
draught,n.
exclusion,n.
dictation,n.
dresser,n.
exempt,adj.
dictator,n.
dressing,n.
exert,v.
dictatorship,n.
dual,adj.
expenditure,n.
diesel,n.
dubious,adj.
expiration,n.
differentiate,v.
duration,n.
expire,v.
diplomacy,n.
dusk,n.
extract,n./v.
directive,n.
dwarf,n./v.
extracurricular,adj.
disable,v.
dwell,v.
eyelash/lash,n.
disastrous,adj.
dwelling,n.
eyelid,n.
disbelief,n.
eccentric,adj./n.
eyesight,n.
discard,v./n.
eclipse,n./v.
fable,n.
discharge,n./v.
edible,adj.
faction,n.
disciple,n.
editorial,adj./n.
Fahrenheit,n.
disciplinary,adj.
electrician,n.
falter,v.
disclosure,n.
elevate,v.
familiarity,n.
discomfort,n./v.
emigrant,n.
fascination,n.
discreet,adj.
emigrate,v.
feasible,adj.
disgrace,n./v.
emigration,n.
feeble,adj.
dismay,n./v.
encyclopedia,n.
feminine,adj./n.
dispensable,adj.
endeavor,n./v.
fertility,n.
dispense,v.
endowment,n.
fertilizer,n.
disposable,adj./n.
endurance,n.
/fiance,n.
disposal,n.
enhance(ment),v./(n.)
fin,n.
dispose,v.
enlighten(ment),v./(n.)
finite,adj.
dissent,n.
enrich(ment),v./(n.)
firecracker,n.
distraction,n.
enroll(ment),v./(n.)
fireproof,adj.
distress,n./v.
equalize,v.
fishery,n.
flake,n./v.
gospel,n.
hygiene,n.
flaw,n./v.
grapefruit,n.
hypocrite,n.
flourish,v./n.
graze,v.
iceberg,n.
flunk,v./n.
grease,n./v.
illuminate,v.
foe,n.
groan,n./v.
imminent,adj.
folklore,n.
growl,n./v.
imperative,adj./n.
formidable,adj.
grumble,v./n.
imperial,adj.
formulate,v.
hacker,n.
implicit,adj.
forsake,v.
hail,n./v.
imposing,adj.
forthcoming,adj.
hamper,v.
imprison(ment),v./(n.)
fortify,v.
handicap,n./v.
incline,v./n.
fowl,n.
handicraft,n.
inclusive,adj.
fracture,n./v.
harass(ment),v./(n.)
incur,v.
fragrance,n.
harden,v.
indifference,n.
fragrant,adj.
harmonica,n.
indignant,adj.
frantic,adj.
harness,n./v.
induce,v.
freak,n./v.
haunt,v./n.
industrialize,v.
freeway,n.
headphone(s),n.
infectious,adj.
friction,n.
healthful,adj.
infer,v.
fume,v./n.
hearty,adj.
inflict,v.
fury,n.
hedge,n./v.
inhabit,v.
fuse,n./v.
heighten,v.
inhabitant,n.
fuss,n./v.
hemisphere,n.
injustice,n.
gallop,n./v.
heroic,adj./n.
inland,adj./adv./n.
gangster,n.
heroin,n.
innumerable,adj.
garment,n.
heterosexual,adj./n.
inquire,v.
gauge,n./v.
hierarchy,n.
insistence,n.
gay,adj./n.
hijack,v./n.
instinctive,adj.
geographical,adj.
hoarse,adj.
intake,n.
geometry,n.
homosexual,adj./n.
intellect,n.
glacier,n.
honorary,adj.
interpreter,n.
glamorous,adj.
hospitable,adj.
intersection,n.
glamour,n.
hospitality,n.
intervene,v.
gleam,n./v.
hospitalize,v.
intimacy,n.
glide,v./n.
hostel,n.
intimidate,v.
glitter,n./v.
hover,v./n.
intonation,n.
gloom,n./v.
humiliate,v.
intrigue,n./v.
goalkeeper,n.
hunch,n./v.
intrude,v.
goodwill,n.
hurdle,n./v.
intruder,n.
gorilla,n.
hybrid,adj./n.
invaluable,adj.
invariably,adv.
linger,v.
meditation,n.
inventory,n./v.
lining,n.
melancholy,n./adj.
ironic,adj.
liter,n.
mentality,n.
irritable,adj.
literacy,n.
merchandise,n./v.
irritate,v.
literal,adj.
mermaid,n.
isle,n.
literate,adj./n.
migrant,n./adj.
itch,n./v.
livestock,n.
mimic,v./n.
ivy,n.
lizard,n.
mingle,v.
jade,n.
locker,n.
miraculous,adj.
janitor,n.
lodge,n./v.
miscellaneous,adj.
jasmine,n.
lofty,adj.
mischievous,adj.
jingle,n./v.
logo,n.
mistress,n.
jockey,n./v.
lonesome,adj.
mobilize,v.
jolly,adj./adv./v./n.
longevity,n.
modernization,n.
joyous,adj.
longitude,n.
modernize,v.
junction,n.
lotion,n.
momentum,n.
kin,n./adj.
lottery,n.
monarch,n.
kindle,v.
lotus,n.
monetary,adj.
knowledgeable,adj.
loudspeaker,n.
monotony,n.
lad,n.
lucrative,adj.
monstrous,adj.
landlady,n.
lullaby,n.
moody,adj.
landslide,n.
lunar,adj.
morale,n.
latitude,n.
lure,n./v.
mortal,adj./n.
lavish,adj.
lush,adj.
motherhood,n.
layman,n.
am,n.
motto,n.
layout,n.
magnify,v.
mound,n./v.
lease,n.
maiden,adj./n.
mourn,v.
legislator,n.
mainland,n.
mournful,adj.
lengthy,adj.
majestic,adj.
mow,v.
lesbian,adj.
majesty,n.
muse,n.
lessen,v.
manuscript,n.
mustache,n.
lethal,adj.
maple,n.
mute,adj./v./n.
liable,adj.
mar,v.
nag,v./n.
liberate,v.
marginal,adj.
narrate,v.
liberation,n.
martial,adj.
narrator,n.
lieutenant,n.
marvel,n./v.
nationalism,n.
lifelong,adj.
mastery,n.
navigate,v.
lighten,v.
mediate,v.
navigation,n.
limp,n./v.
medieval,adj.
nearsighted,adj.
liner,n.
meditate,v.
nickel,n./v.
nostril,n.
outright,adj./adv.
pimple,n.
notable,adj./n.
outset,n.
pinch,n./v.
notorious,adj.
outskirts,n.
plague,n.
nourish(ment),v./(n.)
outward,adj.
plantation,n.
novice,n.
outward/outwards,adv.
playwright,n.
nucleus,n.
overdo,v.
plow,n./v.
nude,adj./n.
overflow,n./v.
pneumonia,n.
nurture,v./n.
overhear,v.
polar,adj.
oasis,n.
overlap,n./v.
ponder,v.
oath,n.
overwork,n./v.
pony,n.
oatmeal,n.
oyster,n.
populate,v.
oblige,v.
ozone,n.
porter,n.
obsess,v.
packet,n.
posture,n./v.
obstinate,adj.
paddle,n./v.
potent,adj.
occurrence,n.
paperback,n.
poultry,n.
octopus,n.
paradox,n.
preach,v.
odor,n.
paralyze,v.
precede,v.
offshore,adj.
parliament,n.
precedent,n.
offspring,n.
pastime,n.
precision,n.
operative,adj.
patriot,n.
predecessor,n.
oppress,v.
patriotic,adj.
prehistoric,adj.
oppression,n.
peacock,n.
premiere,n.
ordeal,n.
pebble,n.
preside,v.
orderly,adj./n.
peek,n./v.
prestige,n.
organizer,n.
pending,adj.
preventive,adj./n.
orient,n./v.
peninsula,n.
preview,n./v.
oriental,adj./n.
perch,n./v.
priceless,adj.
originate,v.
peril,n./v.
privatize,v.
ornament,n./v.
perish,v.
probe,n.
orphanage,n.
permissible,adj.
procession,n.
orthodox,adj.
persevere,v.
proficiency,n.
ounce,n.
persistence,n.
prohibition,n.
outbreak,n.
persistent,adj.
propel,v.
outgoing,adj.
petrol,n.
prose,n.
outing,n.
petroleum,n.
prosecute,v.
outlaw,n./v.
pharmacist,n.
prospective,adj.
outlook,n.
pharmacy,n.
prototype,n.
outnumber,v.
pianist,n.
proverb,n.
outrage,n./v.
pickpocket,n.
provincial,adj./n.
outrageous,adj.
pilgrim,n.
provisional,adj.
psychiatry,n.
reliant,adj.
scroll,n./v.
psychic,adj.
relic,n.
scrutiny,n.
psychotherapy,n.
remainder,n.
sculptor,n.
publicize,v.
reminiscent,adj.
seagull/gull,n.
puff,n./v.
renowned,adj.
seduce,v.
punctual,adj.
reproduce,v.
selective,adj.
purify,v.
reptile,n./adj.
serene,adj.
purity,n.
resent(ment),v./(n.)
sergeant,n.
quake,v./n.
reside,v.
serial,adj.
qualification,n.
resistant,adj.
sermon,n.
radiant,adj./n.
respective,adj.
serving,n.
radiate,v./adj.
restoration,n.
setback,n.
radioactive,adj.
restrain,v.
shabby,adj.
radish,n.
restraint,n.
sharpen,v.
radius,n.
retort,n./v.
shaver,n.
rap,n.
retrieve,v.
shortcoming,n.
rash,n./adj.
revelation,n.
shortsighted,adj.
ratify,v.
revival,n.
shred,n./v.
realization,n.
revive,v.
shriek,n./v.
reap,v.
revolt,n./v.
shrub,n.
reckless,adj.
revolve,v.
shuffle,v.
reckon,v.
rigorous,adj.
shutter,n./v.
reconcile,v.
ripple,n./v.
simplicity,n.
recreational,adj.
rivalry,n.
simplify,v.
redundancy,n.
roam,v./n.
simultaneous,adj.
reef,n.
robust,adj.
skeptical,adj.
referee,n./v.
rotate,v.
skim,v./n.
referendum,n.
rotation,n.
slang,n./v.
refine(ment),v./(n.)
royalty,n.
slash,v./n.
reflective,adj.
rubbish,n.
slaughter,n./v.
refresh(ment),v./(n.)
rugged,adj.
slay,v.
refreshment(s),n.
ruthless,adj.
sloppy,adj.
refute,v.
salute,n./v.
slum,n./v.
rehabilitate,v.
salvage,v.
slump,n./v.
rehearse,v.
sanitation,n.
sly,adj.
reign,n./v.
savage,adj./n./v.
smuggle,v.
rejoice,v.
scenic,adj.
sneaker(s),n.
relay,n./v.
scorn,n./v.
sneaky,adj.
relentless,adj.
scrape,v./n.
sneeze,n./v.
reliance,n.
screwdriver,n.
snore,v./n.
sociable,adj.
strangle,v.
telecommunications,n.
socialism,n.
stray,adj./v./n.
teller,n.
socialist,n.
stride,n./v.
tempo,n.
socialize,v.
stroll,n./v.
tenant,n./v.
sociology,n.
stun,v.
tentative,adj.
solemn,adj.
stutter,n./v.
terrace,n./v.
solidarity,n.
stylish,adj.
textile,n./adj.
solitary,adj./n.
subjective,adj./n.
thereafter,adv.
solitude,n.
subordinate,adj./n./v.
thermometer,n.
soothe,v.
